Fixture_ID,Team_1,Team_2,Team_1_goals,Team_2_goals,ALFIE_rating,Total_goals
12622571,Old Radleians,Old Aldenhamians,2,1,4.0,3
12622572,Old Westminsters,Old Bradfieldians,0,4,1.0,4
12622624,Old Carthusians II,Old Salopians II,3,1,3.0,4
12622625,Old Reptonians,Old Haberdashers,4,4,6.0,8
12622626,Old Wellingtonians,Lancing Old Boys II,1,0,3.0,1
12622678,Kings College Wimbledon II,Old Harrovians II,2,1,4.0,3
12622676,Old Etonians II,Old Brentwoods II,2,1,4.0,3
12622677,Old Foresters II,Old Marlburians,1,3,3.0,4
12622679,Old Wykehamists II,Old Aldenhamians II,3,4,4.0,7
12622722,Old Chigwellians III,Old Epsomians,3,1,3.0,4
12622723,Old Westminsters II,Old Eastbournians,5,2,2.0,7
12622755,Old Brentwoods IV,Old Malvernians II,0,3,2.0,3
12622756,Old Chigwellians IV,Old Citizens,1,5,2.0,6
12612320,Old Cholmeleians,Old Chigwellians,1,2,4.0,3
12612321,Old Chigwellians,Old Foresters,2,3,4.0,5
12622573,Old Salopians,Old Radleians,3,2,4.0,5
12622627,Old Carthusians III,Old Haberdashers,3,1,3.0,4
12622628,Old Salopians II,Old Chigwellians II,5,2,2.0,7
12622680,Old Aldenhamians II,Old Harrovians II,7,0,0.0,7
12612322,Old Chigwellians,Lancing Old Boys,0,0,4.0,0
12612323,Old Etonians,Old Cholmeleians,2,3,4.0,5
12622574,Old Westminsters,Old Salopians,0,4,1.0,4
12622630,Lancing Old Boys II,Old Haberdashers,1,2,4.0,3
12622629,Old Carthusians II,Old Chigwellians II,2,2,5.0,4
12622631,Old Salopians II,Old Wellingtonians,6,1,0.0,7
12622724,Old Cholmeleians III,Old Westminsters II,5,2,2.0,7
12612324,Old Foresters,Old Harrovians,4,3,4.0,7
12622575,Old Radleians,Old Malvernians,2,1,4.0,3
12622576,Old Salopians,Old Aldenhamians,5,0,0.0,5
12622577,Old Westminsters,Old Wykehamists,1,1,4.0,2
12622632,Old Carthusians II,Old Carthusians III,1,1,4.0,2
12622633,Old Haberdashers,Old Chigwellians II,2,2,5.0,4
12622634,Old Reptonians,Lancing Old Boys II,3,0,2.0,3
12622635,Old Salopians II,Old Cholmeleians II,2,1,4.0,3
12622681,Old Brentwoods II,Old Foresters II,4,1,2.0,5
12622682,Old Etonians II,Old Wykehamists II,1,1,4.0,2
12622725,Old Amplefordians,Old Eastbournians,3,3,5.0,6
12622726,Old Berkhamstedians,Old Chigwellians III,1,1,4.0,2
12622757,Old Foresters IV,Old Brentwoods III,4,4,6.0,8
12612325,Old Carthusians,Lancing Old Boys,3,3,5.0,6
12612326,Old Harrovians,Old Cholmeleians,1,3,3.0,4
12612327,Old Tonbridgians,KCS Old Boys,4,1,2.0,5
12622578,Old Aldenhamians,Old Haileyburians,2,1,4.0,3
12622579,Old Salopians,Old King's Scholars,3,0,2.0,3
12622683,Old Aldenhamians II,Old Etonians II,3,2,4.0,5
12622684,Old Harrovians II,Old Foresters II,3,2,4.0,5
12612329,KCS Old Boys,Old Harrovians,0,3,2.0,3
12612330,Lancing Old Boys,Old Foresters,1,0,3.0,1
12612328,Old Carthusians,Old Tonbridgians,4,1,2.0,5
12622580,Old Bradfieldians,Old King's Scholars,4,1,2.0,5
12622581,Old Salopians,Old Westminsters,6,0,0.0,6
12622636,Old Chigwellians II,Old Cholmeleians II,0,0,4.0,0
12622637,Old Haberdashers,Old Wellingtonians,9,3,0.0,12
12622638,Old Salopians II,Lancing Old Boys II,2,1,4.0,3
12622685,Old Brentwoods II,Old Harrovians II,2,1,4.0,3
12622727,Old Berkhamstedians,Old Eastbournians,1,4,2.0,5
12622758,Old Chigwellians IV,Old Foresters IV,0,0,4.0,0
12622759,Old Malvernians II,Old Brentwoods III,0,1,3.0,1
12612331,Old Etonians,KCS Old Boys,0,3,2.0,3
12622582,Old King's Scholars,Old Haileyburians,3,3,5.0,6
12622583,Old Radleians,Old Salopians,2,3,4.0,5
12622639,Old Carthusians III,Old Cholmeleians II,3,1,3.0,4
12622640,Old Chigwellians II,Lancing Old Boys II,1,2,4.0,3
12622689,Kings College Wimbledon II,Old Etonians II,1,2,4.0,3
12622686,Old Aldenhamians II,Old Marlburians,2,1,4.0,3
12622687,Old Foresters II,Old Wykehamists II,2,1,4.0,3
12622688,Old Harrovians II,Old Brentwoods II,6,1,0.0,7
12622728,Old Chigwellians III,Old Amplefordians,1,2,4.0,3
12622729,Old Eastbournians,Old Cholmeleians III,0,3,2.0,3
12622760,Old Brentwoods III,Old Malvernians II,0,6,0.0,6
12622761,Old Brentwoods IV,Old Chigwellians IV,2,0,2.0,2
12622762,Old Cholmeleians IV,Old Foresters III,9,1,0.0,10
12622763,Old Citizens,Old Foresters IV,5,1,2.0,6
12612332,Old Foresters,Old Brentwoods,2,5,2.0,7
12612333,Old Harrovians,Old Etonians,0,4,1.0,4
12612334,Old Tonbridgians,Old Chigwellians,1,4,2.0,5
12622584,Old Haileyburians,Old Radleians,1,1,4.0,2
12622585,Old Wykehamists,Old Westminsters,3,1,3.0,4
12622643,Lancing Old Boys II,Old Wellingtonians,2,1,4.0,3
12622641,Old Carthusians II,Old Cholmeleians II,3,1,3.0,4
12622642,Old Chigwellians II,Old Haberdashers,4,2,3.0,6
12622644,Old Salopians II,Old Carthusians III,0,3,2.0,3
12622690,Old Brentwoods II,Old Aldenhamians II,1,2,4.0,3
12622691,Old Etonians II,Kings College Wimbledon II,0,5,0.0,5
12622692,Old Harrovians II,Old Marlburians,1,3,3.0,4
12622693,Old Wykehamists II,Old Foresters II,0,1,3.0,1
12622730,Old Chigwellians III,Old Eastbournians,1,1,4.0,2
12622764,Old Cholmeleians IV,Old Malvernians II,1,12,1.0,13
12622765,Old Citizens,Old Foresters III,9,0,0.0,9
12612335,Old Foresters,KCS Old Boys,1,1,4.0,2
12612336,Old Tonbridgians,Lancing Old Boys,1,4,2.0,5
12622586,Old Aldenhamians,Old Malvernians,3,2,4.0,5
12622646,Lancing Old Boys II,Old Carthusians III,2,4,3.0,6
12622645,Old Cholmeleians II,Old Haberdashers,3,1,3.0,4
12622647,Old Reptonians,Old Wellingtonians,2,3,4.0,5
12622696,Kings College Wimbledon II,Old Brentwoods II,0,3,2.0,3
12622694,Old Aldenhamians II,Old Wykehamists II,4,1,2.0,5
12622695,Old Etonians II,Old Foresters II,9,0,0.0,9
12622766,Old Brentwoods III,Old Foresters III,2,2,5.0,4
12622767,Old Brentwoods IV,Old Cholmeleians IV,1,0,3.0,1
12622768,Old Chigwellians IV,Old Malvernians II,0,7,0.0,7
12612338,Lancing Old Boys,Old Etonians,1,2,4.0,3
12612337,Old Harrovians,Old Foresters,3,0,2.0,3
12612339,Old Tonbridgians,Old Brentwoods,3,4,4.0,7
12622587,Old Haileyburians,Old Aldenhamians,0,2,2.0,2
12622588,Old Westminsters,Old Radleians,2,0,2.0,2
12622648,Old Carthusians II,Lancing Old Boys II,1,0,3.0,1
12622649,Old Reptonians,Old Salopians II,2,2,5.0,4
12622697,Old Harrovians II,Old Etonians II,2,2,5.0,4
12622731,Old Cholmeleians III,Old Chigwellians III,3,2,4.0,5
12622732,Old Westminsters II,Old Epsomians,2,2,5.0,4
12622769,Old Chigwellians IV,Old Foresters III,3,2,4.0,5
12622770,Old Cholmeleians IV,Old Citizens,1,6,0.0,7
12622771,Old Malvernians II,Old Brentwoods IV,4,2,3.0,6
12612343,Lancing Old Boys,Old Harrovians,3,0,2.0,3
12612340,Old Chigwellians,Old Cholmeleians,0,0,4.0,0
12612341,Old Etonians,Old Brentwoods,3,4,4.0,7
12612342,Old Foresters,Old Carthusians,3,3,5.0,6
12622589,Old Bradfieldians,Old Malvernians,0,5,0.0,5
12622590,Old Haileyburians,Old Salopians,0,7,0.0,7
12622591,Old King's Scholars,Old Wykehamists,1,0,3.0,1
12622650,Old Carthusians III,Old Wellingtonians,8,0,0.0,8
12622651,Old Cholmeleians II,Old Carthusians II,1,2,4.0,3
12622652,Old Haberdashers,Lancing Old Boys II,0,6,0.0,6
12622653,Old Reptonians,Old Chigwellians II,1,1,4.0,2
12622700,Kings College Wimbledon II,Old Foresters II,6,3,3.0,9
12622698,Old Etonians II,Old Aldenhamians II,2,1,4.0,3
12622699,Old Harrovians II,Old Wykehamists II,5,2,2.0,7
12622701,Old Marlburians,Old Brentwoods II,3,1,3.0,4
12622733,Old Chigwellians III,Old Berkhamstedians,2,4,3.0,6
12622772,Old Chigwellians IV,Old Brentwoods III,3,2,4.0,5
12622773,Old Citizens,Old Malvernians II,3,3,5.0,6
12622774,Old Foresters IV,Old Brentwoods IV,0,1,3.0,1
12612346,KCS Old Boys,Old Cholmeleians,2,2,5.0,4
12612344,Old Carthusians,Old Etonians,4,1,2.0,5
12612345,Old Harrovians,Old Tonbridgians,8,0,0.0,8
12622592,Old Haileyburians,Old Wykehamists,0,3,2.0,3
12622593,Old Salopians,Old Malvernians,2,3,4.0,5
12622654,Old Carthusians III,Lancing Old Boys II,4,1,2.0,5
12622655,Old Haberdashers,Old Carthusians II,2,5,2.0,7
12622702,Old Etonians II,Old Harrovians II,1,2,4.0,3
12622703,Old Marlburians,Old Foresters II,3,1,3.0,4
12622734,Old Berkhamstedians,Old Amplefordians,1,0,3.0,1
12622735,Old Cholmeleians III,Old Epsomians,1,0,3.0,1
