Team_1,Team_2,Team_1_goals,Team_2_goals,Total_goals,ALFIE_rating,Total_games 
Old Foresters,Old Marlburians,27,5,32,2.5,10
Old Foresters,Old Meadonians,4,6,10,4.0,2
Old Foresters,Old Owens,1,3,4,3.0,1
Old Foresters,Old Parkonians,7,5,12,3.0,2
Old Foresters,Old Radleians,4,1,5,2.0,1
Old Foresters,Old Reptonians,10,10,20,3.8,5
Old Foresters,Old Rugbeians,8,3,11,3.0,3
Old Foresters,Old Salesians,0,2,2,2.0,1
Old Foresters,Old Salopians,44,19,63,3.176470588235294,17
Old Foresters,Old Suttonians,2,3,5,4.0,1
Old Foresters,Old Tonbridgians,38,33,71,3.0,19
Old Foresters,Old Westminsters,5,2,7,3.0,2
Old Foresters,Old Wokingians,2,1,3,4.0,1
Old Foresters,Old Wykehamists,18,12,30,3.0,9
Old Foresters,Polytechnic,1,3,4,3.0,1
Old Foresters,Southgate County,1,0,1,3.0,1
Old Foresters,Spaniards,6,0,6,0.0,1
Old Foresters,Toby Football Club,1,4,5,2.0,1
Old Foresters,Wake Green Amateur,7,0,7,0.0,1
Old Foresters,Waltham Abbey,0,3,3,2.0,1
Old Foresters,Worcester College Old Boys,4,1,5,2.0,1
Old Foresters II,Albanian FC,1,6,7,0.0,1
Old Foresters II,Broomfield FC,7,7,14,6.0,1
Old Foresters II,Forest School 1st XI,6,12,18,3.3333333333333335,3
Old Foresters II,Forest School 2nd XI,2,2,4,4.333333333333333,3
Old Foresters II,Hale End Athletic,3,2,5,4.0,1
Old Foresters II,Kings College Wimbledon II,34,25,59,3.1818181818181817,11
Old Foresters II,Lancing Old Boys II,10,18,28,2.6,10
Old Foresters II,Mill Hill Village,3,0,3,2.0,1
Old Foresters II,Old Aldenhamians,5,5,10,5.0,2
Old Foresters II,Old Aldenhamians II,3,6,9,3.6666666666666665,3
Old Foresters II,Old Alleynians AFC,4,6,10,4.0,3
Old Foresters II,Old Alleynians II,2,3,5,4.0,1
Old Foresters II,Old Ardinians,7,2,9,0.0,1
Old Foresters II,Old Berkhamstedians,14,14,28,2.5,6
Old Foresters II,Old Brentwoods II,12,14,26,2.8,5
Old Foresters II,Old Carthusians,0,1,1,3.0,1
Old Foresters II,Old Carthusians II,13,30,43,2.6153846153846154,13
Old Foresters II,Old Carthusians III,21,25,46,3.272727272727273,11
Old Foresters II,Old Chigwellians II,6,12,18,3.5,8
Old Foresters II,Old Cholmeleians II,18,12,30,2.0,4
Old Foresters II,Old Cholmeleians III,3,1,4,3.0,2
Old Foresters II,Old Citizens,9,11,20,3.6666666666666665,3
Old Foresters II,Old Columbans,3,3,6,4.0,2
Old Foresters II,Old Epsomians,3,6,9,3.25,4
Old Foresters II,Old Etonians II,19,41,60,2.9375,16
Old Foresters II,Old Finchleians,5,6,11,5.0,1
Old Foresters II,Old Foresters,0,1,1,3.0,1
Old Foresters II,Old Garchonians,0,4,4,1.0,1
Old Foresters II,Old Haberdashers,4,1,5,3.0,2
Old Foresters II,Old Haileyburians,10,4,14,2.5,2
Old Foresters II,Old Harrovians,1,0,1,3.0,1
Old Foresters II,Old Harrovians II,20,19,39,3.2222222222222223,9
Old Foresters II,Old Kimboltonians,1,4,5,2.0,1
Old Foresters II,Old King's Scholars,7,7,14,5.5,2
Old Foresters II,Old Manorians,3,5,8,4.0,1
Old Foresters II,Old Marlburians,2,6,8,3.3333333333333335,3
Old Foresters II,Old Merchant Taylors,5,11,16,3.0,4
Old Foresters II,Old Millfieldians,10,14,24,4.0,3
Old Foresters II,Old Radleians,6,2,8,3.0,2
Old Foresters II,Old Reptonians,2,1,3,4.0,1
Old Foresters II,Old Rugbeians,2,9,11,2.0,2
Old Foresters II,Old Salvatorians,3,1,4,3.0,1
Old Foresters II,Old Sennockians,4,7,11,2.3333333333333335,3
Old Foresters II,Old Suttonians,0,5,5,0.0,1
Old Foresters II,Old Suttonians SV,2,2,4,5.0,1
Old Foresters II,Old Tonbridgians II,2,2,4,3.5,2
Old Foresters II,Old Wellingtonians,1,3,4,3.5,2
Old Foresters II,Old Westminsters,18,18,36,3.6666666666666665,9
Old Foresters II,Old Wykehamists II,12,6,18,3.8,5
Old Foresters III,Bealonians,3,5,8,4.0,1
Old Foresters III,Forest School 3rd XI,5,1,6,2.0,1
Old Foresters III,Kings College Wimbledon III,4,2,6,3.5,2
Old Foresters III,Old Albanians SA,5,6,11,3.0,3
Old Foresters III,Old Alleynians AFC,2,17,19,1.3333333333333333,3
Old Foresters III,Old Alleynians AFC II,0,6,6,0.0,1
Old Foresters III,Old Amplefordians,3,14,17,2.3333333333333335,3
Old Foresters III,Old Bancroftians AFC,7,8,15,2.25,4
Old Foresters III,Old Brentwoods II,5,15,20,3.0,5
Old Foresters III,Old Brentwoods III,26,29,55,2.909090909090909,11
Old Foresters III,Old Brentwoods IV,10,16,26,2.6666666666666665,6
Old Foresters III,Old Chigwellians III,15,14,29,3.0,7
Old Foresters III,Old Chigwellians IV,7,3,10,2.0,2
Old Foresters III,Old Cholmeleians II,6,10,16,2.75,4
Old Foresters III,Old Cholmeleians III,13,6,19,3.6666666666666665,3
Old Foresters III,Old Cholmeleians IV,27,19,46,2.4444444444444446,9
Old Foresters III,Old Citizens,1,14,15,1.0,2
Old Foresters III,Old Columbans,1,6,7,2.5,2
Old Foresters III,Old Foresters IV,3,4,7,4.5,2
Old Foresters III,Old Haberdashers,0,1,1,3.0,1
Old Foresters III,Old Harrovians III,17,18,35,4.142857142857143,7
Old Foresters III,Old Kimboltonians,3,13,16,2.0,3
Old Foresters III,Old Malvernians II,3,11,14,2.0,2
Old Foresters III,Old Merchant Taylors,7,18,25,2.8,5
Old Foresters III,Old Merchant Taylors II,12,13,25,2.8,5
Old Foresters III,Old Millhillians,5,12,17,2.0,3
Old Foresters III,Old Parkonians,0,13,13,1.0,1
Old Foresters III,Old Rugbeians,1,9,10,2.0,2
Old Foresters III,Old Sennockians,3,13,16,2.0,3
Old Foresters III,Old Westminsters II,5,7,12,3.3333333333333335,3
Old Foresters III,UCL Academicals IV,1,9,10,0.0,1
Old Foresters IV,Old Brentwoods III,4,6,10,4.0,2
Old Foresters IV,Old Brentwoods IV,4,9,13,2.5,2
Old Foresters IV,Old Chigwellians IV,3,1,4,3.5,2
Old Foresters IV,Old Cholmeleians IV,6,3,9,3.5,2
Old Foresters IV,Old Citizens,2,11,13,1.0,2
Old Foresters IV,Old Foresters III,4,3,7,4.5,2
Old Foresters IV,Old Malvernians II,0,9,9,0.0,1
Old Foresters Vets,Albanian Vets,6,2,8,2.0,1
Old Foresters Vets,Enfield Old Grammarians,8,1,9,0.0,1
Old Foresters Vets,KCS Old Boys Vets,1,4,5,2.0,1
Old Foresters Vets,Lancing Old Boys Vets,9,5,14,3.6666666666666665,3
Old Foresters Vets,Old Aldenhamians Vets,15,12,27,0.6666666666666666,3
Old Foresters Vets,Old Bradfieldians Vets,2,0,2,2.0,1
Old Foresters Vets,Old Brentwoods Vets,9,9,18,4.75,4
Old Foresters Vets,Old Carthusians Vets,11,5,16,3.0,3
Old Foresters Vets,Old Chigwellians Veterans,2,0,2,2.0,1
Old Foresters Vets,Old Chigwellians Vets,2,3,5,3.0,2
Old Foresters Vets,Old Chigwellians Vets Blues,10,7,17,3.3333333333333335,3
Old Foresters Vets,Old Cholmeleians Vets,16,10,26,3.5,4
Old Foresters Vets,Old Etonians Vets,6,9,15,2.6666666666666665,3
Old Foresters Vets,Old Haileyburians Vets,7,3,10,3.0,2
Old Foresters Vets,Old Harrovians Vets,5,3,8,3.0,2
Old Foresters Vets,Old Ignatians,3,1,4,3.0,1
Old Foresters Vets,Old Kimboltonians Vets,1,0,1,3.0,1
Old Foresters Vets,Old Malvernians Vets,17,10,27,2.75,4
Old Foresters Vets,Old Owens,6,1,7,0.0,1
Old Foresters Vets,Old Salopians Vets,4,4,8,1.0,2
Old Foresters Vets,Old Westminsters Vets,4,1,5,2.0,1
Old Foresters Vets,Old Wykehamists Vets,0,1,1,3.0,1
Old Garchonians,Old Brentwoods,4,1,5,2.0,1
Old Garchonians,Old Carthusians II,0,1,1,3.0,1
Old Garchonians,Old Cholmeleians,3,0,3,2.0,1
Old Garchonians,Old Foresters,0,2,2,2.0,1
Old Garchonians,Old Foresters II,4,0,4,1.0,1
Old Garchonians,Old Haileyburians,8,2,10,0.0,1
Old Gregorians,Old Alleynians AFC III,3,10,13,1.0,1
Old Gregorians,Old Kingstonians KGS,5,3,8,4.0,1
Old Gregorians,TBC,3,3,6,5.0,1
Old Haberdashers,Actonians Association VII,3,4,7,4.0,1
Old Haberdashers,Actonians Association VIII,11,1,12,0.0,1
Old Haberdashers,Albanian V,4,0,4,1.0,1
Old Haberdashers,Bank of England,0,1,1,3.0,1
Old Haberdashers,East Barnet Old Grammarians IV,6,3,9,3.0,1
Old Haberdashers,Haberdashers Aske School 1st XI,12,20,32,2.7142857142857144,7
Old Haberdashers,Inter London,9,4,13,1.0,1
Old Haberdashers,KCS Old Boys II,6,4,10,3.0,2
Old Haberdashers,Kings College Wimbledon II,3,11,14,1.5,2
Old Haberdashers,Lancing Old Boys II,7,14,21,2.8333333333333335,6
Old Haberdashers,Old Albanians SA,6,12,18,3.0,4
Old Haberdashers,Old Aldenhamians II,12,9,21,3.5,4
Old Haberdashers,Old Alleynians AFC II,4,17,21,0.0,2
Old Haberdashers,Old Alleynians III,3,4,7,3.5,2
Old Haberdashers,Old Amplefordians,19,10,29,2.4,5
Old Haberdashers,Old Ardinians,2,10,12,0.0,1
Old Haberdashers,Old Ardinians II,6,3,9,3.0,1
Old Haberdashers,Old Bancroftians,8,3,11,1.5,2
Old Haberdashers,Old Bancroftians AFC,9,8,17,3.0,4
Old Haberdashers,Old Berkhamstedians,0,3,3,2.0,1
Old Haberdashers,Old Berkhamstedians II,15,12,27,3.5,6
Old Haberdashers,Old Bradfieldians,1,2,3,4.0,1
Old Haberdashers,Old Brentwoods II,11,23,34,3.0,5
Old Haberdashers,Old Brentwoods III,30,23,53,2.375,8
Old Haberdashers,Old Brentwoods IV,19,5,24,2.5,4
Old Haberdashers,Old Carthusians II,16,26,42,2.2857142857142856,7
Old Haberdashers,Old Carthusians III,8,26,34,2.3333333333333335,6
Old Haberdashers,Old Cheltonians,6,3,9,3.3333333333333335,3
Old Haberdashers,Old Chigwellians II,16,27,43,3.2,10
Old Haberdashers,Old Cholmeleians II,25,26,51,3.3636363636363638,11
Old Haberdashers,Old Citizens,5,17,22,3.0,3
Old Haberdashers,Old Columbans,4,12,16,1.5,2
Old Haberdashers,Old Eastbournians,16,17,33,3.5,6
Old Haberdashers,Old Epsomians,17,32,49,1.875,8
Old Haberdashers,Old Epsomians II,3,4,7,4.0,1
Old Haberdashers,Old Etonians,0,8,8,0.0,1
Old Haberdashers,Old Etonians II,5,2,7,3.5,2
Old Haberdashers,Old Foresters II,1,4,5,3.0,2
Old Haberdashers,Old Foresters III,1,0,1,3.0,1
Old Haberdashers,Old Haileyburians,1,5,6,2.0,1
Old Haberdashers,Old Harrovians II,16,10,26,3.2,5
Old Haberdashers,Old Harrovians III,12,19,31,1.2,5
Old Haberdashers,Old Kimboltonians,1,2,3,4.0,1
Old Haberdashers,Old King's Scholars,11,9,20,2.5,4
Old Haberdashers,Old Marlburians,1,9,10,2.0,2
Old Haberdashers,Old Meadonians VI,8,4,12,2.0,1
Old Haberdashers,Old Merchant Taylors,10,24,34,2.8333333333333335,6
Old Haberdashers,Old Merchant Taylors II,14,12,26,2.2,5
Old Haberdashers,Old Merchant Taylors' II,5,3,8,3.0,2
Old Haberdashers,Old Oundelians,4,5,9,5.0,1
Old Haberdashers,Old Parkonians,6,1,7,0.0,1
Old Haberdashers,Old Reptonians,6,9,15,4.0,2
Old Haberdashers,Old Salopians II,20,26,46,3.0,9
Old Haberdashers,Old Sennockians,12,23,35,2.7142857142857144,7
Old Haberdashers,Old Shirburnians,8,6,14,3.6666666666666665,3
Old Haberdashers,Old Stoics,17,18,35,2.857142857142857,7
Old Haberdashers,Old Suttonians SV,28,26,54,3.2857142857142856,7
Old Haberdashers,Old Tonbridgians II,11,11,22,2.75,4
Old Haberdashers,Old Vaughanians,7,3,10,2.0,1
Old Haberdashers,Old Wellingtonians,28,21,49,2.5,8
Old Haberdashers,Old Westminsters II,4,5,9,3.0,3
Old Haberdashers,Old Wykehamists II,5,5,10,2.0,2
Old Haberdashers,Pembroke Old Boys,7,0,7,0.0,1
Old Haberdashers,Polytechnic 2s,0,4,4,1.0,1
Old Haberdashers,Royal Bank of Scotland,4,6,10,4.0,1
Old Haberdashers,West Wickham,3,3,6,5.0,1
Old Haileyburians,Haileybury College,7,6,13,3.5,2
Old Haileyburians,KCS Old Boys,3,12,15,1.0,2
Old Haileyburians,Kings College Wimbledon II,3,4,7,4.0,1
Old Haileyburians,Lancing Old Boys II,0,0,0,4.0,1
Old Haileyburians,Old Aldenhamians,14,33,47,2.5555555555555554,9
Old Haileyburians,Old Berkhamstedians,2,22,24,0.5,2
Old Haileyburians,Old Boilers FC,0,5,5,0.0,1
Old Haileyburians,Old Bradfieldians,17,23,40,2.875,8
Old Haileyburians,Old Brentwoods,2,16,18,2.0,2
Old Haileyburians,Old Carthusians,1,5,6,2.0,1
Old Haileyburians,Old Carthusians II,1,4,5,2.0,1
Old Haileyburians,Old Carthusians III,0,11,11,0.0,1
Old Haileyburians,Old Chigwellians,3,6,9,3.5,2
Old Haileyburians,Old Cholmeleians,3,2,5,4.0,1
Old Haileyburians,Old Eastbournians,4,0,4,1.0,1
Old Haileyburians,Old Etonians II,1,9,10,0.0,1
Old Haileyburians,Old Foresters II,4,10,14,2.5,2
Old Haileyburians,Old Garchonians,2,8,10,0.0,1
Old Haileyburians,Old Haberdashers,5,1,6,2.0,1
Old Haileyburians,Old Harrovians,1,11,12,1.5,2
Old Haileyburians,Old King's Scholars,12,8,20,3.5,4
Old Haileyburians,Old Malvernians,15,8,23,3.5,6
Old Haileyburians,Old Marlburians,2,15,17,1.5,2
Old Haileyburians,Old Radleians,19,25,44,2.75,8
Old Haileyburians,Old Reptonians,10,18,28,3.0,7
Old Haileyburians,Old Salopians,1,11,12,1.0,2
Old Haileyburians,Old Sennockians,1,8,9,2.0,2
Old Haileyburians,Old Tonbridgians,5,6,11,4.5,2
Old Haileyburians,Old Wellingtonians,2,16,18,1.0,2
Old Haileyburians,Old Westminsters,14,28,42,2.4444444444444446,9
Old Haileyburians,Old Wykehamists,13,27,40,2.75,8
Old Haileyburians,Putney Ferrets,3,1,4,3.0,1
Old Haileyburians Vets,Old Bradfieldians Vets,0,1,1,3.0,1
Old Haileyburians Vets,Old Brentwoods Vets,8,7,15,2.0,3
Old Haileyburians Vets,Old Chigwellians Vets,2,2,4,5.0,1
Old Haileyburians Vets,Old Cholmeleians Vets,8,8,16,6.0,2
Old Haileyburians Vets,Old Etonians Vets,0,6,6,0.0,1
Old Haileyburians Vets,Old Foresters Vets,3,7,10,3.0,2
Old Haileyburians Vets,Old Lyonians,3,1,4,3.0,1
Old Haileyburians Vets,Old Wellingtonians Vets,8,8,16,0.0,2
Old Haileyburians Vets,Old Westminsters Vets,5,3,8,4.0,1
Old Haileyburians Vets,Old Wykehamists Veterans,3,3,6,4.0,2
Old Hamptonians,Lancing Old Boys,5,2,7,2.0,1
Old Hamptonians,Old Aldenhamians,1,2,3,4.0,1
Old Hamptonians,Old Alleynians,7,1,8,2.0,2
Old Hamptonians,Old Alleynians AFC,2,1,3,4.0,1
Old Hamptonians,Old Carthusians,5,11,16,3.5,4
Old Hamptonians,Old Carthusians II,5,4,9,5.0,1
Old Hamptonians,Old Chigwellians,8,0,8,0.0,1
Old Hamptonians,Old Cholmeleians II,2,1,3,4.0,1
Old Hamptonians,Old Eastbournians,2,1,3,4.0,1
Old Hamptonians,Old Foresters,11,4,15,2.0,2
Old Hamptonians,Old Sennockians,1,3,4,3.0,1
Old Harrovians,Harrow School 1st XI,15,8,23,3.625,8
Old Harrovians,KCS Old Boys,21,29,50,2.933333333333333,15
Old Harrovians,Lancing Old Boys,24,44,68,2.357142857142857,14
Old Harrovians,Old Aldenhamians,22,5,27,1.8333333333333333,6
Old Harrovians,Old Alleynians,5,24,29,2.0,4
Old Harrovians,Old Alleynians AFC,15,26,41,3.2857142857142856,7
Old Harrovians,Old Ardinians,6,8,14,2.5,2
Old Harrovians,Old Berkhamstedians,22,19,41,3.8333333333333335,6
Old Harrovians,Old Bradfieldians,22,43,65,1.8,10
Old Harrovians,Old Brentwoods,36,35,71,2.6875,16
Old Harrovians,Old Carthusians,14,78,92,1.7333333333333334,15
Old Harrovians,Old Chigwellians,25,24,49,3.090909090909091,11
Old Harrovians,Old Cholmeleians,21,24,45,3.4545454545454546,11
Old Harrovians,Old Etonians,26,30,56,3.466666666666667,15
Old Harrovians,Old Foresters,21,45,66,2.7857142857142856,14
Old Harrovians,Old Foresters II,0,1,1,3.0,1
Old Harrovians,Old Haileyburians,11,1,12,1.5,2
Old Harrovians,Old Johnians,8,17,25,2.75,4
Old Harrovians,Old Kimboltonians,0,7,7,0.0,1
Old Harrovians,Old Malvernians,36,19,55,2.727272727272727,11
Old Harrovians,Old Marlburians,31,30,61,2.5384615384615383,13
Old Harrovians,Old Radleians,14,15,29,3.375,8
Old Harrovians,Old Reptonians,15,17,32,2.5,8
Old Harrovians,Old Rugbeians,19,17,36,4.2,5
Old Harrovians,Old Salopians,20,38,58,3.2857142857142856,14
Old Harrovians,Old Shirburnians,1,5,6,2.0,1
Old Harrovians,Old Stoics,13,3,16,1.0,2
Old Harrovians,Old Tonbridgians,26,36,62,3.0714285714285716,14
Old Harrovians,Old Wellingtonians,16,1,17,1.5,4
Old Harrovians,Old Westminsters,9,9,18,2.6,5
Old Harrovians,Old Wykehamists,20,34,54,2.4444444444444446,9
Old Harrovians II,East Barnet Old Grammarians,3,0,3,2.0,1
Old Harrovians II,Harrow School 2nd XI,13,8,21,3.888888888888889,9
Old Harrovians II,KCS Old Boys II,1,4,5,3.0,2
Old Harrovians II,Kings College Wimbledon II,27,25,52,3.6923076923076925,13
Old Harrovians II,Lancing Old Boys II,11,15,26,3.6666666666666665,6
Old Harrovians II,Old Albanians,2,3,5,4.0,1
Old Harrovians II,Old Aldenhamians,17,15,32,3.857142857142857,7
Old Harrovians II,Old Aldenhamians II,13,12,25,1.6666666666666667,6
Old Harrovians II,Old Alleynians AFC,12,16,28,3.1666666666666665,6
Old Harrovians II,Old Alleynians AFC II,2,1,3,4.0,1
Old Harrovians II,Old Alleynians II,4,12,16,1.25,4
Old Harrovians II,Old Alleynians III,4,5,9,4.333333333333333,3
Old Harrovians II,Old Berkhamstedians,9,19,28,2.6,5
Old Harrovians II,Old Berkhamstedians II,2,1,3,4.0,2
Old Harrovians II,Old Brentwoods II,32,33,65,2.6363636363636362,11
Old Harrovians II,Old Brentwoods III,14,10,24,3.0,3
Old Harrovians II,Old Brentwoods IV,5,3,8,4.0,1
Old Harrovians II,Old Carthusians II,21,31,52,3.230769230769231,13
Old Harrovians II,Old Carthusians III,2,3,5,4.0,2
Old Harrovians II,Old Chigwellians II,30,19,49,3.25,12
Old Harrovians II,Old Cholmeleians II,3,6,9,1.5,2
Old Harrovians II,Old Cholmeleians III,5,6,11,2.0,2
Old Harrovians II,Old Citizens,23,31,54,2.111111111111111,9
Old Harrovians II,Old Columbans,0,1,1,3.0,1
Old Harrovians II,Old Eastbournians,23,8,31,2.8333333333333335,6
Old Harrovians II,Old Epsomians,24,33,57,2.909090909090909,11
Old Harrovians II,Old Etonians II,35,54,89,3.3333333333333335,18
Old Harrovians II,Old Foresters II,19,20,39,3.2222222222222223,9
Old Harrovians II,Old Haberdashers,10,16,26,3.2,5
Old Harrovians II,Old Harrovians Select XI,4,4,8,6.0,1
Old Harrovians II,Old Johnians,8,15,23,3.0,3
Old Harrovians II,Old Kimboltonians,2,9,11,2.3333333333333335,3
Old Harrovians II,Old Malvernians,7,5,12,4.5,2
Old Harrovians II,Old Malvernians II,5,0,5,0.0,1
Old Harrovians II,Old Marlburians,2,6,8,3.0,2
Old Harrovians II,Old Merchant Taylors,24,19,43,3.2222222222222223,9
Old Harrovians II,Old Merchant Taylors',4,2,6,3.0,2
Old Harrovians II,Old Millfieldians,6,19,25,2.5,4
Old Harrovians II,Old Minchendenians,3,4,7,4.0,1
Old Harrovians II,Old Parkonians,1,2,3,4.0,1
Old Harrovians II,Old Radleians,14,23,37,3.625,8
Old Harrovians II,Old Rugbeians,4,4,8,3.0,2
Old Harrovians II,Old Rugbeians II,9,0,9,0.0,1
Old Harrovians II,Old Salopians II,14,5,19,2.8333333333333335,6
Old Harrovians II,Old Sennockians,30,20,50,3.4166666666666665,12
Old Harrovians II,Old Shirburnians,8,5,13,3.0,2
Old Harrovians II,Old Stoics,8,2,10,2.0,2
Old Harrovians II,Old Suttonians SV,5,1,6,2.0,1
Old Harrovians II,Old Westminsters,4,16,20,2.2,5
Old Harrovians II,Old Westminsters II,13,5,18,2.6666666666666665,3
Old Harrovians II,Old Wykehamists II,11,8,19,3.25,4
Old Harrovians III,Harrow School 3rd XI,9,8,17,4.285714285714286,7
Old Harrovians III,KCS Old Boys II,2,3,5,4.0,1
Old Harrovians III,Kings College Wimbledon III,12,8,20,2.0,4
Old Harrovians III,Lancing Old Boys II,11,7,18,3.6,5
Old Harrovians III,Old Albanians SA,6,14,20,2.6666666666666665,3
Old Harrovians III,Old Alleynians AFC II,19,16,35,2.1666666666666665,6
Old Harrovians III,Old Alleynians AFC III,6,10,16,3.5,2
Old Harrovians III,Old Amplefordians,18,28,46,2.3636363636363638,11
Old Harrovians III,Old Ardinians,1,12,13,0.0,2
Old Harrovians III,Old Ardinians II,5,4,9,3.5,2
Old Harrovians III,Old Bancroftians AFC,19,18,37,2.7,10
Old Harrovians III,Old Berkhamstedians II,5,14,19,3.0,5
Old Harrovians III,Old Brentwoods II,4,6,10,4.0,3
Old Harrovians III,Old Brentwoods III,23,29,52,2.2222222222222223,9
Old Harrovians III,Old Brentwoods IV,7,14,21,3.0,4
Old Harrovians III,Old Canfordians,2,1,3,4.0,1
Old Harrovians III,Old Cheltonians,5,4,9,4.5,2
Old Harrovians III,Old Cholmeleians II,0,12,12,0.0,1
Old Harrovians III,Old Cholmeleians III,1,3,4,3.0,1
Old Harrovians III,Old Cholmeleians IV,19,15,34,2.6666666666666665,6
Old Harrovians III,Old Columbans,5,3,8,3.3333333333333335,3
Old Harrovians III,Old Eastbournians,6,2,8,3.0,2
Old Harrovians III,Old Epsomians II,2,0,2,3.0,2
Old Harrovians III,Old Foresters III,18,17,35,4.142857142857143,7
Old Harrovians III,Old Haberdashers,19,12,31,1.2,5
Old Harrovians III,Old Johnians FC,2,18,20,0.6666666666666666,3
Old Harrovians III,Old Johnians II,6,3,9,3.0,2
Old Harrovians III,Old Kimboltonians,4,13,17,2.3333333333333335,3
Old Harrovians III,Old King's Scholars,24,20,44,3.1,10
Old Harrovians III,Old Kingstonians,8,3,11,3.0,2
Old Harrovians III,Old Kingstonians KGS,4,2,6,3.0,1
Old Harrovians III,Old Malvernians II,5,2,7,3.0,2
Old Harrovians III,Old Merchant Taylors,5,10,15,3.0,4
Old Harrovians III,Old Merchant Taylors II,0,0,0,4.0,1
Old Harrovians III,Old Millhillians,7,6,13,5.0,2
Old Harrovians III,Old Oundelians,5,10,15,3.0,2
Old Harrovians III,Old Rugbeians,5,11,16,2.3333333333333335,3
Old Harrovians III,Old Salopians II,7,3,10,3.0,2
Old Harrovians III,Old Sennockians,7,16,23,0.25,4
Old Harrovians III,Old Shirburnians,17,17,34,3.111111111111111,9
Old Harrovians III,Old Stoics,26,26,52,2.8181818181818183,11
Old Harrovians III,Old Suttonians SV,5,8,13,2.0,3
Old Harrovians III,Old Tonbridgians II,7,8,15,3.25,4
Old Harrovians III,Old Wellingtonians,21,12,33,3.5714285714285716,7
Old Harrovians III,Old Westminsters,2,2,4,5.0,1
Old Harrovians III,Old Westminsters II,19,31,50,3.3,10
Old Harrovians IV,Old Amplefordians,1,3,4,3.0,1
Old Harrovians IV,Old Eastbournians,1,2,3,4.0,1
Old Harrovians Select XI,Old Harrovians II,4,4,8,6.0,1
Old Harrovians Vets,KCS Old Boys Vets,2,14,16,0.0,2
Old Harrovians Vets,Lancing Old Boys Vets,5,5,10,4.0,2
Old Harrovians Vets,Old Brentwoods Vets,7,11,18,2.3333333333333335,3
Old Harrovians Vets,Old Carthusians Vets,21,16,37,3.8,5
Old Harrovians Vets,Old Chigwellians Vets,1,4,5,2.0,1
Old Harrovians Vets,Old Etonians Vets,4,15,19,2.6666666666666665,3
Old Harrovians Vets,Old Foresters Vets,3,5,8,3.0,2
Old Harrovians Vets,Old Malvernians Vets,10,17,27,3.0,4
Old Harrovians Vets,Old Reptonians Vets,16,12,28,3.5,4
Old Harrovians Vets,Old Salopians Vets,14,5,19,2.6666666666666665,3
Old Harrovians Vets,Old Tonbridgians Vets,2,1,3,4.0,2
Old Harrovians Vets,Old Westminsters Vets,5,3,8,4.0,2
Old Harrovians Vets,Old Wykehamists Vets,8,9,17,4.0,3
Old Ignatian,Old Foresters,0,2,2,2.0,1
Old Ignatian II,Old Merchant Taylors,1,2,3,4.0,1
Old Ignatian Vets,Old Etonians Vets,0,3,3,2.0,1
Old Ignatians,Old Chigwellians Vets,1,7,8,0.0,1
Old Ignatians,Old Cholmeleians II,0,1,1,3.0,1
Old Ignatians,Old Foresters Vets,1,3,4,3.0,1
Old Ignatians,Old Salopians,2,2,4,5.0,1
Old Ignatians,Old Tonbridgians,6,1,7,0.0,1
Old Isleworthians,Old Millfieldians,5,3,8,4.0,1
Old Isleworthians,Old Westminsters,1,4,5,2.0,1
Old Isleworthians II,Old Carthusians II,3,7,10,2.0,1
Old Johnians,KCS Old Boys,2,2,4,5.0,1
Old Johnians,Kings College Wimbledon II,6,2,8,3.3333333333333335,3
Old Johnians,Lancing Old Boys,5,3,8,3.3333333333333335,3
Old Johnians,Old Albanians SA,4,4,8,6.0,1
Old Johnians,Old Aldenhamians,12,2,14,2.25,4
Old Johnians,Old Alleynians,0,7,7,0.0,1
Old Johnians,Old Alleynians II,9,6,15,4.0,3
Old Johnians,Old Berkhamstedians,6,2,8,3.0,2
Old Johnians,Old Bradfieldians,2,3,5,4.0,1
Old Johnians,Old Carthusians,0,8,8,1.0,2
Old Johnians,Old Carthusians II,11,0,11,1.5,2
Old Johnians,Old Chigwellians,5,3,8,2.0,2
Old Johnians,Old Chigwellians II,11,4,15,2.6666666666666665,3
Old Johnians,Old Cholmeleians,1,2,3,4.0,1
Old Johnians,Old Columbans,4,0,4,1.0,1
Old Johnians,Old Etonians,3,2,5,4.0,1
Old Johnians,Old Etonians II,9,7,16,3.25,4
Old Johnians,Old Foresters,16,11,27,1.75,4
Old Johnians,Old Harrovians,17,8,25,2.75,4
Old Johnians,Old Harrovians II,15,8,23,3.0,3
Old Johnians,Old Johnians II,4,4,8,6.0,1
Old Johnians,Old Malvernians,13,6,19,2.5,2
Old Johnians,Old Marlburians,11,7,18,3.5,4
Old Johnians,Old Merchant Taylors',4,2,6,1.5,2
Old Johnians,Old Radleians,17,4,21,2.5,4
Old Johnians,Old Reptonians,0,2,2,2.0,1
Old Johnians,Old Rugbeians,11,8,19,2.75,4
Old Johnians,Old Salopians,13,8,21,2.25,4
Old Johnians,Old Sennockians,10,3,13,2.5,4
Old Johnians,Old Tonbridgians,5,3,8,3.6666666666666665,3
Old Johnians,Old Westminsters,9,8,17,2.75,4
Old Johnians,Old Wykehamists,6,5,11,4.5,2
Old Johnians,Shene Old Grammarians,1,2,3,4.0,1
Old Johnians FC,Kings College Wimbledon II,3,1,4,3.5,2
Old Johnians FC,Kings College Wimbledon III,7,1,8,1.5,2
